Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 62831)
rand_mask=b'U-\x8e\xb6\xc8\xfd\x06y'
masked_addr=b'UI,\x15\xc9\xfd\x06y'
target_addr=0064a2a301000000
lowest_message_bit=14
key 0
240: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.154, 0.839, 0.006, 0.002], checks for var: 15
243: expect=1, actual=np.int64(-1), [0.004, 0.025, 0.657, 0.314, 0.000, 0.000, 0.000], checks for var: 15
244: expect=-3, actual=np.int64(0), [0.010, 0.060, 0.008, 0.922, 0.000, 0.000, 0.000], checks for var: 9
245: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
246: expect=1, actual=np.int64(0), [0.000, 0.002, 0.107, 0.890, 0.000, 0.000, 0.000], checks for var: 11
247: expect=1, actual=np.int64(0), [0.000, 0.001, 0.000, 0.999, 0.000, 0.000, 0.000], checks for var: 16
248: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.003, 0.997, 0.001, 0.000, 0.000], checks for var: 10
249: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
255: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.003, 0.988, 0.009, 0.000, 0.000], checks for var: 9
256: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.010, 0.989, 0.000, 0.000, 0.000], checks for var: 9
257: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
258: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
260: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
261: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.997, 0.003, 0.000, 0.000], checks for var: 14
262: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.999, 0.000, 0.000, 0.000], checks for var: 12
263: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 8
264: expect=-3, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
269: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
271: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
272: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 14
273: expect=1, actual=np.int64(0), [0.000, 0.000, 0.011, 0.988, 0.001, 0.000, 0.000], checks for var: 10
274: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.987, 0.013, 0.000, 0.000], checks for var: 15
275: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
276: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 16
279: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
280: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
281: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
282: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.002, 0.998, 0.000, 0.000], checks for var: 12
284: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
287: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
290: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000], checks for var: 11
291: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
293: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
294: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 9
296: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.931, 0.020, 0.010, 0.039], checks for var: 12
297: expect=3, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 12
298: expect=2, actual=np.int64(0), [0.000, 0.000, 0.004, 0.996, 0.000, 0.000, 0.000], checks for var: 13
300: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.005, 0.966, 0.029, 0.000], checks for var: 11
