Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 49584)
rand_mask=b'\xfe\xa6\xc4\xd8O8XO'
masked_addr=b'\xfe\x01f{N8XO'
target_addr=00a7a2a301000000
lowest_message_bit=15
key 0
198: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.998, 0.001, 0.000], checks for var: 17
201: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.902, 0.098], checks for var: 19
202: expect=0, actual=np.int64(-1), [0.002, 0.134, 0.781, 0.083, 0.000, 0.000, 0.000], checks for var: 20
203: expect=2, actual=np.int64(-2), [0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
204: expect=1, actual=np.int64(-1), [0.001, 0.000, 0.996, 0.003, 0.000, 0.000, 0.000], checks for var: 20
205: expect=0, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
206: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.002, 0.998, 0.000, 0.000], checks for var: 18
208: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 19
209: expect=2, actual=np.int64(-1), [0.000, 0.001, 0.999, 0.000, 0.000, 0.000, 0.000], checks for var: 19
210: expect=-2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.242, 0.684, 0.073, 0.001], checks for var: 20
211: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.998, 0.002, 0.000], checks for var: 18
213: expect=-1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.021, 0.887, 0.092], checks for var: 20
214: expect=3, actual=np.int64(-3), [0.984, 0.015, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 20
215: expect=1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.895, 0.103, 0.000, 0.000], checks for var: 19
216: expect=0, actual=np.int64(-2), [0.003, 0.902, 0.095, 0.000, 0.000, 0.000, 0.000], checks for var: 18
218: expect=-1, actual=np.int64(-2), [0.041, 0.798, 0.161, 0.000, 0.000, 0.000, 0.000], checks for var: 19
219: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000], checks for var: 18
220: expect=0, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
221: expect=0, actual=np.int64(-1), [0.002, 0.007, 0.991, 0.000, 0.000, 0.000, 0.000], checks for var: 19
222: expect=2, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
223: expect=0, actual=np.int64(1), [0.000, 0.000, 0.001, 0.057, 0.942, 0.000, 0.000], checks for var: 19
224: expect=-2, actual=np.int64(1), [0.000, 0.001, 0.007, 0.020, 0.960, 0.013, 0.000], checks for var: 18
225: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.019, 0.977, 0.003, 0.000, 0.000], checks for var: 20
226: expect=1, actual=np.int64(-2), [0.391, 0.571, 0.038, 0.000, 0.000, 0.000, 0.000], checks for var: 20
227: expect=-2, actual=np.int64(-1), [0.000, 0.001, 0.726, 0.233, 0.028, 0.008, 0.004], checks for var: 20
228: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.995, 0.004, 0.001, 0.000], checks for var: 18
229: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.001, 0.999, 0.000, 0.000, 0.000], checks for var: 19
230: expect=-3, actual=np.int64(1), [0.000, 0.002, 0.054, 0.001, 0.924, 0.016, 0.003], checks for var: 16
231: expect=-1, actual=np.int64(-2), [0.031, 0.906, 0.063, 0.000, 0.000, 0.000, 0.000], checks for var: 18
232: expect=0, actual=np.int64(-1), [0.000, 0.007, 0.993, 0.000, 0.000, 0.000, 0.000], checks for var: 19
233: expect=2, actual=np.int64(-1), [0.000, 0.002, 0.993, 0.005, 0.000, 0.000, 0.000], checks for var: 18
234: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.027, 0.972, 0.001, 0.000], checks for var: 19
236: expect=-2, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.166, 0.827, 0.007], checks for var: 20
237: expect=0, actual=np.int64(-3), [0.685, 0.284, 0.001, 0.029, 0.000, 0.000, 0.000], checks for var: 20
238: expect=1, actual=np.int64(-2), [0.161, 0.839, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
240: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.976, 0.024], checks for var: 20
241: expect=-2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.042, 0.957, 0.000, 0.000], checks for var: 19
242: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.045, 0.954, 0.000, 0.000], checks for var: 18
243: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.003, 0.538, 0.458, 0.000], checks for var: 19
244: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.017, 0.962, 0.008, 0.013], checks for var: 20
245: expect=-2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.015, 0.924, 0.060, 0.000], checks for var: 19
246: expect=1, actual=np.int64(-1), [0.001, 0.065, 0.935, 0.000, 0.000, 0.000, 0.000], checks for var: 17
247: expect=-1, actual=np.int64(-2), [0.041, 0.959, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
248: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.012, 0.988, 0.000], checks for var: 20
249: expect=0, actual=np.int64(-1), [0.019, 0.008, 0.967, 0.006, 0.000, 0.000, 0.000], checks for var: 19
251: expect=1, actual=np.int64(0), [0.000, 0.012, 0.031, 0.949, 0.007, 0.000, 0.000], checks for var: 20
254: expect=0, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
257: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.888, 0.111, 0.000], checks for var: 19
258: expect=1, actual=np.int64(-1), [0.000, 0.003, 0.995, 0.001, 0.000, 0.000, 0.000], checks for var: 19
