Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 65077)
rand_mask=b'\xc0v(e\xe1\xff\xc8s'
masked_addr=b'\xc0\xd9\xec\xc6\xe0\xff\xc8s'
target_addr=00afc4a301000000
lowest_message_bit=15
key 0
280: expect=0, actual=np.int64(3), [0.000, 0.000, 0.000, 0.080, 0.158, 0.146, 0.615], checks for var: 20
283: expect=1, actual=np.int64(-1), [0.001, 0.115, 0.697, 0.046, 0.039, 0.075, 0.027], checks for var: 20
284: expect=0, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.997], checks for var: 19
286: expect=2, actual=np.int64(1), [0.000, 0.000, 0.001, 0.000, 0.996, 0.002, 0.000], checks for var: 19
287: expect=0, actual=np.int64(1), [0.001, 0.006, 0.020, 0.014, 0.935, 0.024, 0.000], checks for var: 19
288: expect=-1, actual=np.int64(-3), [0.790, 0.210, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
290: expect=-2, actual=np.int64(-3), [0.889, 0.100, 0.007, 0.003, 0.000, 0.000, 0.000], checks for var: 20
292: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.002, 0.010, 0.963, 0.024, 0.000], checks for var: 19
294: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.088, 0.474, 0.438], checks for var: 19
295: expect=1, actual=np.int64(0), [0.000, 0.001, 0.058, 0.822, 0.050, 0.059, 0.009], checks for var: 20
296: expect=2, actual=np.int64(-2), [0.011, 0.605, 0.250, 0.132, 0.001, 0.000, 0.000], checks for var: 20
297: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.021, 0.926, 0.049, 0.004, 0.000], checks for var: 19
298: expect=0, actual=np.int64(-1), [0.000, 0.012, 0.983, 0.004, 0.001, 0.000, 0.000], checks for var: 19
299: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.156, 0.841, 0.003], checks for var: 20
300: expect=1, actual=np.int64(-2), [0.021, 0.928, 0.050, 0.000, 0.000, 0.000, 0.000], checks for var: 19
302: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.221, 0.626, 0.153], checks for var: 20
303: expect=0, actual=np.int64(-2), [0.000, 0.508, 0.458, 0.019, 0.012, 0.003, 0.000], checks for var: 20
306: expect=-1, actual=np.int64(-3), [0.959, 0.041, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 19
310: expect=0, actual=np.int64(-1), [0.001, 0.155, 0.667, 0.178, 0.000, 0.000, 0.000], checks for var: 19
312: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.004, 0.170, 0.825], checks for var: 19
313: expect=0, actual=np.int64(2), [0.000, 0.000, 0.029, 0.019, 0.326, 0.617, 0.009], checks for var: 20
314: expect=-2, actual=np.int64(-3), [0.960, 0.040, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 20
318: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.005, 0.165, 0.767, 0.062], checks for var: 20
319: expect=-1, actual=np.int64(0), [0.000, 0.023, 0.108, 0.868, 0.000, 0.000, 0.000], checks for var: 19
320: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.003, 0.810, 0.013, 0.174], checks for var: 19
321: expect=0, actual=np.int64(-2), [0.021, 0.646, 0.325, 0.007, 0.001, 0.000, 0.000], checks for var: 19
322: expect=0, actual=np.int64(-3), [0.744, 0.250, 0.006, 0.000, 0.000, 0.000, 0.000], checks for var: 20
323: expect=-1, actual=np.int64(-2), [0.026, 0.973, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
324: expect=-1, actual=np.int64(0), [0.001, 0.075, 0.207, 0.655, 0.060, 0.003, 0.000], checks for var: 20
326: expect=0, actual=np.int64(-2), [0.038, 0.920, 0.038, 0.004, 0.000, 0.000, 0.000], checks for var: 20
328: expect=1, actual=np.int64(0), [0.000, 0.000, 0.009, 0.955, 0.035, 0.002, 0.000], checks for var: 20
329: expect=1, actual=np.int64(0), [0.000, 0.000, 0.002, 0.989, 0.002, 0.002, 0.004], checks for var: 19
330: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.069, 0.913, 0.018, 0.000], checks for var: 19
